text,category,urgency,triage_level
"please help, sprained wrist after a small fall, slight pain started suddenly",trauma_ortho,moderate,4
"we need help, patient is unconscious after a seizure, 64 years old started suddenly",neuro,critical,1
"urgent! twisted ankle while walking, mild swelling",trauma_ortho,moderate,4
"we need help, choking and gasping for air, oxygen level dropping",respiratory,critical,1
"we need help, slight breathlessness after climbing stairs please advise",respiratory,moderate,4
"urgent! burns on hand from boiling water, second degree",surgery,high,3
"we need help, infant with slight rash and mild diarrhoea please advise",pediatric,moderate,4
"my relative has small laceration on forearm, bleeding controlled it is getting worse",surgery,moderate,4
"my relative has mild chest discomfort after walking, no sweating",cardiac,moderate,4
mild abdominal pain and bloating since yesterday please advise,surgery,moderate,4
urgent! dehydration with dizziness and weakness please advise,general,high,3
"we need help, mild cough and cold for 3 days started suddenly",respiratory,moderate,4
"urgent! chest pain on exertion, 76 year old with palpitations started suddenly",cardiac,high,3
"my relative has dislocated shoulder from bike accident, severe pain please advise",trauma_ortho,high,3
mild fever and body ache since yesterday,general,moderate,4
"please help, mild cough and cold for 1 days it is getting worse",respiratory,moderate,4
my relative has mild fever and body ache since yesterday it is getting worse,general,moderate,4
"urgent! seizure episode lasting 30 minutes, now drowsy started suddenly",neuro,high,3
my 4 year old child has mild fever and cold,pediatric,moderate,4
"my relative has seizure episode lasting 30 minutes, now drowsy please advise",neuro,high,3
infant with slight rash and mild diarrhoea,pediatric,moderate,4
toddler with difficulty breathing and wheezing please advise,pediatric,high,3
infant with slight rash and mild diarrhoea please advise,pediatric,moderate,4
"please help, recurring migraine with light sensitivity",neuro,moderate,4
"we need help, severe difficulty breathing, unable to speak full sentences it is getting worse",respiratory,critical,1
my relative has infant with slight rash and mild diarrhoea started suddenly,pediatric,moderate,4
high fever and persistent vomiting for 3 days,general,high,3
crushing chest pain radiating to the left arm since 10 minutes please advise,cardiac,critical,1
"my relative has patient is unconscious after a seizure, 45 years old please advise",neuro,critical,1
"please help, mild chest discomfort after walking, no sweating it is getting worse",cardiac,moderate,4
"my relative has angina like chest pain, feels pressure in chest it is getting worse",cardiac,high,3
"urgent! patient is unconscious after a seizure, 45 years old please advise",neuro,critical,1
dehydration with dizziness and weakness,general,high,3
"my relative has occasional palpitations, feels fine otherwise it is getting worse",cardiac,moderate,4
recurring migraine with light sensitivity it is getting worse,neuro,moderate,4
"anaphylaxis after food, swelling of face and throat please advise",general,critical,1
"urgent! choking and gasping for air, oxygen level dropping it is getting worse",respiratory,critical,1
"we need help, anaphylaxis after food, swelling of face and throat please advise",general,critical,1
"urgent! appendicitis suspected, severe stomach pain on right side",surgery,high,3
"please help, road accident, open fracture of leg with heavy bleeding started suddenly",trauma_ortho,critical,1
urgent! deep wound on abdomen with internal bleeding after stab started suddenly,surgery,critical,1
urgent! deep wound on abdomen with internal bleeding after stab,surgery,critical,1
"urgent! fell from height, deformed arm and severe pain it is getting worse",trauma_ortho,critical,1
high fever and persistent vomiting for 2 days started suddenly,general,high,3
crushing chest pain radiating to the left arm since 20 minutes started suddenly,cardiac,critical,1
high fever with severe dehydration and fainting please advise,general,critical,1
